sysfs /sys sysfs rw,nosuid,nodev,noexec,relatime 0 0
proc /proc proc rw,nosuid,nodev,noexec,relatime 0 0
udev /dev devtmpfs rw,nosuid,noexec,relatime,size=7710980k,nr_inodes=1927745,mode=755,inode64 0 0
devpts /dev/pts devpts rw,nosuid,noexec,relatime,gid=5,mode=620,ptmxmode=000 0 0
tmpfs /run tmpfs rw,nosuid,nodev,noexec,relatime,size=1550084k,mode=755,inode64 0 0
/dev/nvme0n1p8 / ext4 rw,relatime,errors=remount-ro 0 0
securityfs /sys/kernel/security securityfs rw,nosuid,nodev,noexec,relatime 0 0
tmpfs /dev/shm tmpfs rw,nosuid,nodev,inode64 0 0
tmpfs /run/lock tmpfs rw,nosuid,nodev,noexec,relatime,size=5120k,inode64 0 0
tmpfs /sys/fs/cgroup tmpfs ro,nosuid,nodev,noexec,mode=755,inode64 0 0
cgroup2 /sys/fs/cgroup/unified cgroup2 rw,nosuid,nodev,noexec,relatime,nsdelegate 0 0
cgroup /sys/fs/cgroup/systemd cgroup rw,nosuid,nodev,noexec,relatime,xattr,name=systemd 0 0
pstore /sys/fs/pstore pstore rw,nosuid,nodev,noexec,relatime 0 0
efivarfs /sys/firmware/efi/efivars efivarfs rw,nosuid,nodev,noexec,relatime 0 0
bpf /sys/fs/bpf bpf rw,nosuid,nodev,noexec,relatime,mode=700 0 0
cgroup /sys/fs/cgroup/cpu,cpuacct cgroup rw,nosuid,nodev,noexec,relatime,cpu,cpuacct 0 0
cgroup /sys/fs/cgroup/hugetlb cgroup rw,nosuid,nodev,noexec,relatime,hugetlb 0 0
cgroup /sys/fs/cgroup/cpuset cgroup rw,nosuid,nodev,noexec,relatime,cpuset 0 0
cgroup /sys/fs/cgroup/freezer cgroup rw,nosuid,nodev,noexec,relatime,freezer 0 0
cgroup /sys/fs/cgroup/rdma cgroup rw,nosuid,nodev,noexec,relatime,rdma 0 0
cgroup /sys/fs/cgroup/perf_event cgroup rw,nosuid,nodev,noexec,relatime,perf_event 0 0
cgroup /sys/fs/cgroup/net_cls,net_prio cgroup rw,nosuid,nodev,noexec,relatime,net_cls,net_prio 0 0
cgroup /sys/fs/cgroup/devices cgroup rw,nosuid,nodev,noexec,relatime,devices 0 0
cgroup /sys/fs/cgroup/pids cgroup rw,nosuid,nodev,noexec,relatime,pids 0 0
cgroup /sys/fs/cgroup/misc cgroup rw,nosuid,nodev,noexec,relatime,misc 0 0
cgroup /sys/fs/cgroup/blkio cgroup rw,nosuid,nodev,noexec,relatime,blkio 0 0
cgroup /sys/fs/cgroup/memory cgroup rw,nosuid,nodev,noexec,relatime,memory 0 0
systemd-1 /proc/sys/fs/binfmt_misc autofs rw,relatime,fd=28,pgrp=1,timeout=0,minproto=5,maxproto=5,direct,pipe_ino=27105 0 0
hugetlbfs /dev/hugepages hugetlbfs rw,relatime,pagesize=2M 0 0
mqueue /dev/mqueue mqueue rw,nosuid,nodev,noexec,relatime 0 0
debugfs /sys/kernel/debug debugfs rw,nosuid,nodev,noexec,relatime 0 0
tracefs /sys/kernel/tracing tracefs rw,nosuid,nodev,noexec,relatime 0 0
fusectl /sys/fs/fuse/connections fusectl rw,nosuid,nodev,noexec,relatime 0 0
configfs /sys/kernel/config configfs rw,nosuid,nodev,noexec,relatime 0 0
/dev/loop0 /snap/bare/5 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop1 /snap/clion/222 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop2 /snap/snap-store/599 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop3 /snap/snap-store/638 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop4 /snap/codium/295 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop5 /snap/dosbox-x/1143 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop7 /snap/zoom-client/196 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop6 /snap/code/120 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop33 /snap/discord/150 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop15 /snap/core18/2679 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop27 /snap/core/14784 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop19 /snap/discord/149 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop30 /snap/slack/68 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop10 /snap/pycharm-community/310 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop35 /snap/core/14447 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop20 /snap/dosbox-x/1142 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop9 /snap/clion/219 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop29 /snap/core20/1822 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop25 /snap/gnome-3-34-1804/72 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop28 /snap/core20/1778 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop14 /snap/gtk-common-themes/1534 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop26 /snap/core22/522 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop31 /snap/core22/509 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop36 /snap/gnome-42-2204/56 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop13 /snap/slack/67 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop37 /snap/codium/297 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop32 /snap/snapd/18357 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop34 /snap/gnome-3-28-1804/161 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop23 /snap/gtk-common-themes/1535 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop18 /snap/snapd/17950 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop11 /snap/gnome-42-2204/44 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop16 /snap/gnome-3-34-1804/77 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop17 /snap/core18/2697 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop8 /snap/pycharm-community/315 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop22 /snap/gnome-3-38-2004/115 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop21 /snap/tree/18 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop12 /snap/code/119 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop24 /snap/gnome-3-38-2004/119 squashfs ro,nodev,relatime,errors=continue 0 0
binfmt_misc /proc/sys/fs/binfmt_misc binfmt_misc rw,nosuid,nodev,noexec,relatime 0 0
/dev/nvme0n1p1 /boot/efi vfat rw,relatime,fmask=0077,dmask=0077,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro 0 0
tmpfs /run/user/1000 tmpfs rw,nosuid,nodev,relatime,size=1550080k,mode=700,uid=1000,gid=1000,inode64 0 0
gvfsd-fuse /run/user/1000/gvfs fuse.gvfsd-fuse rw,nosuid,nodev,relatime,user_id=1000,group_id=1000 0 0
/dev/fuse /run/user/1000/doc fuse rw,nosuid,nodev,relatime,user_id=1000,group_id=1000 0 0
tmpfs /run/snapd/ns tmpfs rw,nosuid,nodev,noexec,relatime,size=1550084k,mode=755,inode64 0 0
nsfs /run/snapd/ns/snap-store.mnt nsfs rw 0 0
/dev/fuse /root/.cache/doc fuse rw,nosuid,nodev,relatime,user_id=0,group_id=0 0 0
gvfsd-fuse /root/.cache/gvfs fuse.gvfsd-fuse rw,nosuid,nodev,relatime,user_id=0,group_id=0 0 0
/dev/sda1 /media/helena/ESD-USB vfat rw,nosuid,nodev,relatime,uid=1000,gid=1000,fmask=0022,dmask=0022,codepage=437,iocharset=iso8859-1,shortname=mixed,showexec,utf8,flush,errors=remount-ro 0 0
