   PPID     PID    PGID     SID TTY        TPGID STAT   UID   TIME COMMAND
  52446   52454   52454   52454 pts/0      55501 Ss    1000   0:00      \_ bash
  52454   55501   55501   52454 pts/0      55501 S+    1000   0:00          \_ ./father res.txt
  55501   55502   55501   52454 pts/0      55501 S+    1000   0:00              \_ son1
  55501   55503   55501   52454 pts/0      55501 S+    1000   0:00              \_ son2 res.txt
  55501   55504   55501   52454 pts/0      55501 Z+    1000   0:00              \_ [son3] <defunct>
  55501   55505   55501   52454 pts/0      55501 S+    1000   0:00              \_ sh -c ps xjf | grep "STAT\|52454" > res.txt
  55505   55506   55501   52454 pts/0      55501 R+    1000   0:00                  \_ ps xjf
  55505   55507   55501   52454 pts/0      55501 S+    1000   0:00                  \_ grep STAT\|52454
   2246   55503   55501   52454 pts/0      52454 S     1000   0:00  \_ son2 res.txt
  55503   55514   55501   52454 pts/0      52454 S     1000   0:00      \_ sh -c ps xjf | grep son2 >> res.txt
  55514   55516   55501   52454 pts/0      52454 S     1000   0:00          \_ grep son2
