F S     PID    PPID CLS PRI  NI STAT CMD                         RTPRIO
4 S    9561    9216  TS  19   0 S+   sudo ./a.out                     -
4 S    9562    9561  TS  19   0 Sl+   \_ ./a.out                      -
1 S    9563    9562  TS  19   0 Sl+       \_ ./a.out                  -
0 S    9586    9563  TS  19   0 S+        |   \_ sh -c ps -T -p       -
0 R    9598    9586  TS  19   0 R+        |       \_ ps -T -p 95      -
0 S    9572    9562  TS  19   0 S+        \_ sh -c ps -T -p 9562      -
4 R    9596    9572  TS  19   0 R+        |   \_ ps -T -p 9562 -      -
0 S    9575    9562  TS  19   0 S+        \_ sh -c ps -T -p 9562      -
4 R    9601    9575  TS  19   0 R+        |   \_ ps -T -p 9562 -      -
4 S    9581    9562  TS  19   0 S+        \_ sh -c ps -o f,s,pid      -
4 R    9590    9581  TS  19   0 R+            \_ ps -o f,s,pid,p      -
1 S       2       0  TS  19   0 S    [kthreadd]                       -
1 I       3       2  TS  39 -20 I<    \_ [rcu_gp]                     -
1 I       4       2  TS  39 -20 I<    \_ [rcu_par_gp]                 -
1 I       5       2  TS  39 -20 I<    \_ [slub_flushwq]               -
1 I       6       2  TS  39 -20 I<    \_ [netns]                      -
1 I       8       2  TS  39 -20 I<    \_ [kworker/0:0H-events_hi      -
1 I      10       2  TS  39 -20 I<    \_ [mm_percpu_wq]               -
1 S      11       2  TS  19   0 S     \_ [rcu_tasks_rude_]            -
1 S      12       2  TS  19   0 S     \_ [rcu_tasks_trace]            -
1 S      13       2  TS  19   0 S     \_ [ksoftirqd/0]                -
1 I      14       2  TS  19   0 I     \_ [rcu_sched]                  -
1 S      15       2  FF 139   - S     \_ [migration/0]               99
1 S      16       2  FF  90   - S     \_ [idle_inject/0]             50
1 S      18       2  TS  19   0 S     \_ [cpuhp/0]                    -
5 S      19       2  TS  19   0 S     \_ [cpuhp/1]                    -
1 S      20       2  FF  90   - S     \_ [idle_inject/1]             50
1 S      21       2  FF 139   - S     \_ [migration/1]               99
1 S      22       2  TS  19   0 S     \_ [ksoftirqd/1]                -
1 I      24       2  TS  39 -20 I<    \_ [kworker/1:0H-events_hi      -
5 S      25       2  TS  19   0 S     \_ [cpuhp/2]                    -
1 S      26       2  FF  90   - S     \_ [idle_inject/2]             50
1 S      27       2  FF 139   - S     \_ [migration/2]               99
1 S      28       2  TS  19   0 S     \_ [ksoftirqd/2]                -
1 I      30       2  TS  39 -20 I<    \_ [kworker/2:0H-events_hi      -
5 S      31       2  TS  19   0 S     \_ [cpuhp/3]                    -
1 S      32       2  FF  90   - S     \_ [idle_inject/3]             50
1 S      33       2  FF 139   - S     \_ [migration/3]               99
1 S      34       2  TS  19   0 S     \_ [ksoftirqd/3]                -
1 I      36       2  TS  39 -20 I<    \_ [kworker/3:0H-events_hi      -
5 S      37       2  TS  19   0 S     \_ [cpuhp/4]                    -
1 S      38       2  FF  90   - S     \_ [idle_inject/4]             50
1 S      39       2  FF 139   - S     \_ [migration/4]               99
1 S      40       2  TS  19   0 S     \_ [ksoftirqd/4]                -
1 I      42       2  TS  39 -20 I<    \_ [kworker/4:0H-events_hi      -
